timestamp,sensor,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,duration,connection_state,alert_signature,alert_category,severity,ml_label,ml_confidence,evidence_summary,tcp_flags,dns_query,http_host,tls_sni
1777725028.718545856,wireshark,104.18.32.47,192.168.1.7,443,57124,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725028.718545874,wireshark,104.18.32.47,192.168.1.7,443,57124,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725028.718545892,wireshark,104.18.32.47,192.168.1.7,443,57124,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725028.718545908,wireshark,104.18.32.47,192.168.1.7,443,57124,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725028.718545926,wireshark,104.18.32.47,192.168.1.7,443,57124,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725028.718545944,wireshark,104.18.32.47,192.168.1.7,443,57124,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725028.820411610,wireshark,192.168.1.7,8.8.8.8,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725028.821801449,wireshark,104.18.32.47,192.168.1.7,443,57124,eth:ethertype:ip:tcp,1428,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725028.821801612,wireshark,104.18.32.47,192.168.1.7,443,57124,eth:ethertype:ip:tcp:tls,242,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725028.821801632,wireshark,104.18.32.47,192.168.1.7,443,57124,eth:ethertype:ip:tcp:tls,112,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725028.821801649,wireshark,104.18.32.47,192.168.1.7,443,57124,eth:ethertype:ip:tcp:tls,97,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725028.821901099,wireshark,192.168.1.7,104.18.32.47,57124,443,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725029.026175431,wireshark,8.8.8.8,192.168.1.7,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725029.149580018,wireshark,192.168.1.7,20.50.201.201,48932,443,eth:ethertype:ip:tcp:tls,213,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725029.149619990,wireshark,192.168.1.7,20.50.201.201,48932,443,eth:ethertype:ip:tcp:tls,1053,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725029.183309834,wireshark,192.168.1.7,142.251.36.206,59048,443,eth:ethertype:ip:tcp:tls,105,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725029.183363835,wireshark,192.168.1.7,142.251.208.238,35358,443,eth:ethertype:ip:tcp:tls,105,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
